h2,ch4,c2h2,c2h4,c2h6
92600.0,10200.0,0.001,2.0,1.0
0.0,18900.0,330.0,540.0,410.0
8800.0,64064.0,0.001,95650.0,72128.0
5.26,0.001,66.4,28.2,0.001
10092.0,5399.0,37565.0,6500.0,530.0
3417.62,131.42,0.0,1.22,14.36
134.0,13.0,0.001,0.001,267.0
7020.0,1850.0,4410.0,2960.0,0.0
12.873,2.587,2.591,18.361,36.679
0.428,10.969,19.141,4.54,0.744
2736.703,5.243,29.76,18.54,13.757
12.321,10.527,17.581,2.545,6.094
11.277,14.691,16.505,11.207,3.98
0.77,16.657,5.652,8.575,1.403
5.614,2.031,3.095,3.284,25.893
13.776,5.442,6.158,1027.307,6.555
29.209,10.453,4754.53,12.713,4.804
9.115,5173.919,7.185,6830.468,12.309
10.349,7.812,2.977,2.499,23.682
9.604,613.138,27.435,2.715,6.685
6.764,2.708,21.473,2.166,62.596
0.444,10.448,20.055,0.667,14.463
9034.964,17.035,2679.084,6845.317,1.258
7412.594,7.189,6533.775,0.437,7.684
2.639,1.014,2.734,33.389,0.475
4.271,4.336,10.128,7.968,2.791
0.957,8.593,4.562,5.352,15.45
2999.323,0.79,8.627,5.685,12.748
3.291,32.548,19.838,20.834,5.502
8928.339,31.941,10.147,3.485,2304.279
0.726,8.11,4.755,5.959,0.04
10.977,2.51,3.132,9.5,1.618
6.677,2.495,6.751,2.206,5.864
10.95,8.78,2.388,18.619,10.11
1.775,2.175,15.885,8.639,19.902
2.576,11.533,0.078,3.129,10.945
19.153,6.445,17.999,33.321,6.902
20.046,1.209,7.785,7.985,39.142
14.87,3.732,2.372,5.603,8.832
11.018,1.315,22.793,5.724,4.46
8.836,6917.053,9.418,8.458,9.72
7.488,14.301,6161.511,32.171,1.093
3.089,6.009,1.665,9428.683,10.705
23.595,29.486,6.568,6001.545,0.083
24.297,3.68,10.326,0.43,4.9
15.932,0.488,12.882,13.123,1.52
6.304,22.976,24.09,9.041,19.391
10.984,1.451,10.509,21.221,3970.85
19.784,10.04,1568.527,2.982,26.932
9.218,8485.351,10.015,10.454,4.152
5.808,1.96,19.413,2.486,8.819
4.751,1.183,4.817,2.005,2189.956
28.474,3.526,1.572,18.409,2.872
3.444,31.128,0.766,10.14,9.029
2.439,1.583,4.097,15.283,13.891
8633.497,1.891,5.863,3.811,3.556
10.886,19.853,27.438,5.259,2.968
18.334,7.391,0.383,1.628,10.319
2.176,0.716,20.933,13.175,0.194
