h2,ch4,c2h2,c2h4,c2h6
92600.0,10200.0,0.001,0.001,0.001
0.001,0.001,35.0,5.0,10.0
8800.0,64064.0,0.001,95650.0,72128.0
20000.0,13000.0,57000.0,29000.0,1850.0
625.0,130.0,0.0001,2.0,47.0
0.001,116.0,0.001,0.001,70.0
0.001,3.4,0.001,54.0,0.001
22.603,3.81,0.68,5.723,2.772
10.553,0.34,4.989,1.731,0.966
1.286,3.509,4.463,2.299,1.19
6.755,3.864,0.645,17.729,6.703
2.672,3.495,4.356,11.595,16.373
4.737,9.365,5.885,0.794,1.283
9.137,3.783,5.009,16.229,8.72
7.357,0.653,31.825,1.146,0.736
1.329,3.755,6.996,13.595,6.693
5.362,3.337,35.471,12.331,6.443
4.285,26.733,0.352,3.879,6.501
14.899,2.476,10.717,0.416,0.835
5.139,9.752,10.413,0.818,6.795
7.1,3.505,9.539,6.015,9.36
6.721,10.153,10.009,30.312,27.518
2.635,25.89,26.082,2.801,1.549
17.1,21.426,2.443,27.138,1.778
5.224,2.414,15.307,10.458,9.434
2.94,2.261,5.548,1.942,3.343
0.835,6.261,10.963,10.095,26.525
13.344,0.425,15.883,12.344,9.951
5.193,14.803,6.651,7.228,19.14
5.074,8.023,7.554,31.377,4.838
1.977,6.87,6.325,3.316,12.118
14.693,17.68,0.318,11.327,11.916
3.616,16.173,9.905,21.578,23.197
0.682,1.081,9.03,5.619,2.198
3.948,11.114,0.067,7.826,6.567
26.607,4.832,11.943,37.241,23.191
1.293,4.474,1.7,1.672,12.067
7.792,6.51,3.487,3.727,0.24
25.199,2.181,0.15,6.679,8.857
13.153,5.017,23.569,13.494,2.8
11.348,8.447,10.83,10.002,0.608
21.96,3.276,6.476,35.39,4.256
2.274,6.545,34.693,6.904,6.162
5.33,4.797,1.058,0.323,0.112
6.482,33.372,4.126,2.463,0.242
1.151,11.387,2.097,3.729,5.41
0.378,4.081,5.673,6.195,8.349
11.449,7.051,20.874,7336.09,5.146
1.503,12.895,10.183,0.32,11.912
1.809,12.221,5.907,2.175,17.189
2.751,8.323,20.876,4.92,2.777
19.354,1.408,28.055,8.53,4.926
6.339,7.809,30.889,3.206,2.314
6.845,15.266,15.207,5.471,0.958
3.912,34.282,27.592,6.244,4.517
11.266,1.593,11.47,7861.66,3.676
11.88,20.287,9.981,4.869,7.336
0.313,9.27,3.603,15.804,12.105
4.253,5.425,13.388,7.447,16.679
1.439,26.774,18.714,21.973,12.716
24.381,6.228,6.683,2.08,1.682
6.911,7.066,9.395,2.684,2.935
3.994,2.295,2.426,21.951,27.437
3.718,3.894,6.453,7.061,0.239
25.324,10.873,13.62,3.146,0.706
4.497,7.304,0.581,27.383,37.927
2.226,4.026,6.921,4.808,13.163
10.999,9.82,9.756,15.932,16.682
6.843,11.659,5.553,16.845,8.459
9.542,11.259,29.214,7.492,10.249
1.687,16.627,6.037,4.286,0.387
3.325,2.461,22.601,12.084,1.578
16.175,3.494,0.236,12.955,0.449
2.916,7.023,1.224,25.567,7.464
