Value,Model
83.65,M1
79.81,M1
82.69,M1
81.73,M1
81.73,M1
79.81,M1
84.62,M1
82.69,M1
82.69,M1
80.77,M1
76.92,M1
79.81,M1
78.85,M1
81.73,M1
85.58,M1
81.73,M1
80.77,M1
84.62,M1
80.77,M1
79.81,M1
80.77,M1
83.65,M1
75.96,M1
84.62,M1
85.58,M1
85.58,M1
81.73,M1
83.65,M1
82.69,M1
81.73,M1
88.46,M2
85.58,M2
85.58,M2
86.54,M2
86.54,M2
80.77,M2
85.58,M2
82.69,M2
84.62,M2
85.58,M2
85.58,M2
87.50,M2
86.54,M2
83.65,M2
86.54,M2
81.73,M2
81.73,M2
84.62,M2
82.69,M2
84.62,M2
80.77,M2
81.73,M2
87.50,M2
81.73,M2
84.62,M2
85.58,M2
80.77,M2
85.58,M2
83.65,M2
83.65,M2
88.46,M3
88.46,M3
83.65,M3
81.73,M3
87.50,M3
86.54,M3
84.62,M3
85.58,M3
87.50,M3
83.65,M3
83.65,M3
86.54,M3
83.65,M3
87.50,M3
84.62,M3
83.65,M3
86.54,M3
85.58,M3
82.69,M3
82.69,M3
83.65,M3
85.58,M3
84.62,M3
83.65,M3
83.65,M3
83.65,M3
84.62,M3
85.58,M3
84.62,M3
85.58,M3
