h2,ch4,c2h2,c2h4,c2h6
92600.0,10200.0,0.001,0.001,0.001
0.001,0.001,35.0,5.0,10.0
8800.0,64064.0,0.001,95650.0,72128.0
20000.0,13000.0,57000.0,29000.0,1850.0
625.0,130.0,0.0001,2.0,47.0
0.001,116.0,0.001,0.001,70.0
0.001,3.4,0.001,54.0,0.001
4.166,7.952,6.371,15.365,1.605
2.626,1.589,4.672,11.922,25.649
4.047,14.949,13.257,7.009,33.593
2.564,5.117,5.228,18.488,43.051
4.269,8.891,18.391,2.912,3.174
4.997,4.933,4.378,3.849,4.582
18.083,0.844,8.914,17.977,0.913
1.929,0.579,0.656,26.76,5.993
3.756,16.247,10.487,1.986,12.74
5.493,7.244,4857.143,6.618,3.296
3.912,2.293,44.127,4.847,20.007
7.291,0.487,9.045,0.367,2.053
5.821,4.55,12.727,3.812,9.266
4.523,9.066,13.951,3.309,1.564
11.406,6.629,7.999,8.37,5.857
11.041,4.284,11.935,13.479,1.271
5.467,27.244,0.096,8.573,5.546
15.8,11.405,5.757,22.516,0.693
10.484,5.98,0.82,0.795,4.102
10.473,1.81,22.21,1.941,1.686
0.85,4.62,43.056,11.944,6.782
7.03,5.747,38.259,3.162,3.006
18.056,1.397,12.789,7.933,11.492
13.948,20.295,4.285,10.414,19.566
3.101,6.27,31.756,3.442,2.249
5.969,1.672,9.083,4.402,2.84
2.003,21.921,7.693,14.749,2.65
10.34,18.011,11.795,3.0,4.429
10.311,6.796,19.759,10.135,8.655
2.657,43.146,15.424,48.347,13.396
8.574,19.284,1.636,1.143,1.275
2.03,3.272,3.296,3.959,3.516
6.871,76.017,3.432,17.808,24.615
9.491,2.785,1.056,1.896,4.4
4.161,2.435,15.001,5.47,6.148
0.169,24.641,27.717,4.773,22.125
16.347,0.88,13.668,2.773,1.725
8.093,3.517,0.264,4.884,4.967
3.764,1.649,5.695,9.552,4.916
1.987,4.481,10.03,0.994,4.267
2.907,16.428,0.725,9.076,24.687
6.074,19.864,9.797,3.059,2.562
13.497,23.247,0.438,24.563,38.721
4.751,11.756,5.499,16.758,3.585
1.239,12.575,6.433,22.551,4.307
4.181,10.823,2.825,12.898,7.161
10.577,1.28,13.737,2.706,9.317
13.71,21.597,16.564,65.235,9.12
1.41,3.478,3.244,8.853,2.312
3.684,19.791,2.824,2.124,23.839
2.546,25.366,12.362,26.278,14.329
1.997,4.643,14.421,18.453,6.931
12.68,15.355,10.756,16.491,3.574
21.437,5.636,3.941,7110.977,7.746
6.948,9517.934,4.725,1.582,5.033
6.891,2.822,23.829,2.558,0.976
17.448,0.602,31.787,17.738,8.113
7.323,20.811,12.947,7.606,1.842
0.494,0.527,20.881,21.612,14.752
2.152,14.654,15.088,1.859,3.41
9.514,11.714,0.77,24.749,8.324
12.455,17.148,1.265,7.859,12.832
9.157,24.677,19.301,4.043,56.352
6.862,8.738,11.079,21.533,9.7
7.483,4.922,4.763,13.801,2.017
2.228,1.436,17.517,12.477,24.87
1.845,5.422,4.532,5.662,18.212
