h2,ch2,c2h2,c2h4,c2h6,act
2091.0,149.0,20.0,3.0,0.001,1.0
8200.0,3790.0,250.0,4620.0,277.0,3.0
75.0,15.0,7.0,14.0,250.0,3.0
530.0,345.0,85.0,266.0,21.0,3.0
60.0,5.0,2.0,21.0,32.0,3.0
5900.0,1500.0,68.0,1200.0,800.0,3.0
1.0,27.0,49.0,4.0,1.0,4.0
14.0,14.0,124.0,7.0,1.0,4.0
3420.0,7870.0,1500.0,6990.0,33.0,6.0
19.3,103.0,159.0,19.0,0.6,6.0
27.0,30.0,23.0,2.4,0.1,4.0
23.0,63.0,54.0,10.0,0.3,2.0
21.0,34.0,5.0,47.0,62.0,3.0
160.0,130.0,33.0,96.0,0.1,5.0
180.0,175.0,75.0,50.0,4.0,5.0
345.0,112.3,27.5,51.5,58.8,2.0
30.4,117.0,44.2,138.0,0.1,5.0
181.0,262.0,41.0,28.0,0.001,4.0
173.0,334.0,172.0,812.5,37.7,6.0
127.0,107.0,11.0,154.0,224.0,3.0
60.0,40.0,6.9,110.0,70.0,3.0
220.0,340.0,42.0,480.0,14.0,6.0
170.0,320.0,53.0,520.0,3.2,6.0
27.0,90.0,42.0,63.0,0.2,5.0
56.0,286.0,96.0,928.0,7.0,6.0
200.0,48.0,14.0,117.0,131.0,3.0
78.0,161.0,86.0,353.0,10.0,6.0
32.4,5.5,1.4,12.6,13.2,3.0
980.0,73.0,58.0,12.0,0.001,1.0
160.0,130.0,33.0,96.0,0.001,4.0
650.0,53.0,35.0,20.0,0.001,1.0
95.0,110.0,160.0,50.0,0.001,4.0
300.0,490.0,180.0,360.0,95.0,5.0
200.0,700.0,250.0,740.0,1.0,5.0
625.0,130.0,47.0,2.0,0.0001,4.0
56.0,61.0,75.0,32.0,31.0,1.0
1651.0,90.0,33.0,45.0,2.0,1.0
234.5,30.28,6.11,47.69,175.88,2.0
18.34,16.26,3.38,17.95,16.42,3.0
235.46,333.59,177.52,1201.85,148.87,3.0
505.57,475.35,242.3,524.45,3.29,4.0
36.0,30.0,10.0,93.0,7.1,6.0
345.0,112.3,27.5,51.5,58.8,2.0
181.0,262.0,41.0,28.0,0.001,4.0
127.0,107.0,11.0,154.0,224.0,3.0
60.0,40.0,6.9,110.0,70.0,3.0
220.0,340.0,42.0,480.0,14.0,6.0
170.0,320.0,53.0,520.0,3.2,6.0
200.0,48.0,14.0,117.0,131.0,3.0
78.0,161.0,86.0,353.0,10.0,6.0
32.4,5.5,1.4,12.6,13.2,3.0
179.0,306.0,73.0,579.0,0.001,6.0
345.0,112.3,27.5,51.5,58.8,2.0
181.0,262.0,41.0,28.0,0.001,4.0
172.9,334.0,172.0,812.5,37.7,6.0
127.0,107.0,11.0,154.0,224.0,3.0
60.0,40.0,6.9,110.0,70.0,3.0
220.0,340.0,42.0,480.0,14.0,6.0
170.0,320.0,53.0,520.0,3.2,6.0
27.0,90.0,42.0,73.0,0.2,4.0
565.0,53.0,34.0,47.0,0.001,2.0
56.0,286.0,96.0,28.0,7.0,6.0
200.0,48.0,14.0,117.0,131.0,3.0
78.0,161.0,86.0,353.0,10.0,6.0
32.4,5.5,1.4,12.6,13.2,3.0
41.0,65.0,22.0,58.0,0.001,5.0
20.0,48.0,36.0,186.0,0.001,6.0
179.0,306.0,73.0,579.0,0.001,6.0
73.0,177.0,37.0,52.0,0.001,5.0
39.0,7.0,12.0,65.0,0.001,6.0
37.0,96.0,19.0,57.0,0.001,5.0
46.0,147.0,27.0,150.0,0.001,6.0
18.0,63.0,20.0,51.0,0.001,5.0
28.0,62.0,16.0,76.0,0.001,6.0
68.0,78.0,103.0,136.0,0.001,6.0
54.0,143.0,23.0,101.0,0.001,5.0
19.0,47.0,27.0,62.0,0.001,5.0
86.0,277.0,63.0,338.0,0.001,6.0
20.0,19.0,45.0,77.0,0.001,6.0
25.0,49.0,42.0,58.0,0.001,5.0
53.0,150.0,64.0,379.0,0.001,6.0
114.0,241.0,80.0,574.0,0.001,6.0
99.0,288.0,73.0,386.0,0.001,6.0
1374.0,2648.0,628.0,5376.0,298.0,6.0
34.0,83.0,100.0,136.0,0.001,6.0
20.0,132.0,61.0,17.0,0.001,4.0
13.0,138.0,83.0,16.0,0.001,4.0
43.0,116.0,65.0,139.0,0.001,5.0
179.0,306.0,73.0,579.0,0.001,6.0
57.0,141.0,38.0,51.0,0.001,5.0
35.0,283.0,121.0,222.0,0.001,5.0
15.0,159.0,29.0,87.0,0.001,5.0
55.0,159.0,114.0,493.0,0.001,6.0
37.0,123.0,67.0,52.0,0.001,4.0
7.0,15.0,78.0,58.0,0.001,4.0
30.0,51.0,12.0,54.0,0.001,6.0
31.0,56.0,33.0,77.0,0.001,5.0
109.0,226.0,68.0,192.0,0.001,5.0
137.0,279.0,66.0,505.0,0.001,6.0
59.0,119.0,36.0,70.0,0.001,5.0
151.0,242.0,68.0,232.0,0.001,5.0
870.0,77.0,73.0,54.0,14.0,1.0
376.0,575.0,146.0,1092.0,0.001,6.0
17.0,40.0,11.0,86.0,0.001,6.0
90.0,313.0,67.0,566.0,10.0,4.0
23.0,6.0,172.0,23.0,31.0,4.0
103.0,74.0,80.0,9.0,0.001,4.0
124.0,166.0,87.0,59.0,0.001,4.0
295.0,1466.0,331.0,1295.0,32.0,5.0
80.0,619.0,326.0,2480.0,0.001,5.0
231.0,3997.0,1726.0,5584.0,0.001,5.0
507.0,1053.0,297.0,1440.0,17.0,5.0
2587.0,7.88,4.7,1.4,0.001,2.0
240.0,20.0,5.0,28.0,96.0,2.0
160.0,10.0,3.0,1.0,1.0,2.0
56.0,61.0,75.0,32.0,31.0,2.0
217.0,286.0,14.0,458.0,884.0,3.0
441.0,207.0,43.0,224.0,261.0,3.0
127.0,24.0,0.001,32.0,81.0,3.0
176.0,205.9,47.7,75.7,68.7,3.0
117.0,17.0,1.0,3.0,1.0,1.0
32930.0,2397.0,157.0,0.001,0.001,1.0
78.0,20.0,11.0,13.0,28.0,2.0
1230.0,163.0,27.0,233.0,692.0,2.0
8200.0,3790.0,250.0,4620.0,277.0,3.0
13.0,3.0,1.0,3.0,6.0,3.0
130.0,140.0,2.0,120.0,0.001,4.0
78.0,66.0,283.0,2.6,0.001,4.0
30.4,117.0,44.2,138.0,0.1,5.0
27.0,90.0,42.0,63.0,0.2,5.0
1100.0,1600.0,221.0,2010.0,26.0,6.0
290.0,966.0,299.0,1810.0,57.0,6.0
