h2,ch4,c2h2,c2h4,c2h6,act
9.71,55.36,0.05,23.14,30.4,0
25.81,81.79,0.2,46.21,40.16,0
16.8,95.45,0.26,52.75,57.28,0
36.33,41.71,0.58,22.74,25.72,0
18.63,73.23,0.41,26.4,67.61,0
91.5,6.64,0.14,39.61,54.53,0
78.62,35.92,0.43,26.94,16.41,0
99.23,46.91,0.92,7.02,9.7,0
5.79,101.56,0.29,26.24,33.17,0
6.44,18.36,0.37,44.49,5.01,0
17.19,35.19,0.95,4.44,47.55,0
14.15,70.58,0.89,12.22,60.37,0
36.34,129.78,0.37,26.74,21.36,0
79.7,69.83,0.22,27.23,63.42,0
95.14,114.68,0.95,31.47,27.42,0
24.07,38.53,0.96,2.29,15.54,0
38.28,111.79,0.25,3.56,0.17,0
88.58,20.9,0.43,26.93,48.65,0
20.63,31.48,0.9,29.21,46.42,0
26.79,73.04,0.79,23.53,68.32,0
17.36,114.04,0.48,38.25,38.71,0
14.98,22.72,0.73,6.62,54.38,0
52.85,41.75,0.86,29.13,23.01,0
60.56,18.39,0.32,38.43,64.45,0
87.09,61.21,1.0,43.55,43.41,0
27.09,124.34,0.26,32.0,53.19,0
73.09,74.29,0.73,31.73,42.9,0
41.18,23.2,0.21,22.71,25.92,0
82.42,6.62,0.54,30.73,50.08,0
51.78,48.96,0.29,48.45,66.77,0
19.0,34.35,0.08,2.21,7.86,0
80.81,12.73,0.81,42.5,26.18,0
102.2,69.84,0.07,8.79,45.84,0
96.95,44.33,0.11,25.08,48.3,0
63.81,34.15,0.02,36.6,23.03,0
98.27,23.28,0.3,15.26,61.53,0
42.13,62.69,0.77,37.46,37.19,0
2.82,6.09,0.96,18.75,69.55,0
24.16,39.88,0.41,32.53,7.63,0
73.44,3.74,0.04,5.57,12.14,0
38.63,59.93,0.52,15.57,50.53,0
90.15,4.88,0.54,1.81,40.41,0
9.14,1.39,0.31,40.92,24.85,0
60.84,80.12,0.58,36.16,12.71,0
41.65,73.61,0.72,5.21,24.65,0
17.84,84.07,0.48,5.07,20.94,0
27.03,27.74,0.63,41.86,54.93,0
50.61,5.46,0.7,37.51,47.88,0
52.77,71.61,0.8,44.77,53.06,0
93.19,101.13,0.56,12.85,28.59,0
48.35,45.3,0.78,29.4,54.49,0
16.91,4.13,0.53,6.2,9.13,0
58.94,123.07,0.61,8.43,7.52,0
97.73,12.93,0.98,13.26,34.03,0
63.75,37.76,0.64,0.44,50.36,0
105.38,67.58,0.01,35.04,30.77,0
60.48,65.82,0.19,50.8,17.66,0
85.2,95.9,0.73,11.22,33.93,0
68.81,65.89,0.47,25.1,66.96,0
29.05,87.93,0.96,44.62,66.45,0
89.37,92.97,0.34,27.93,37.62,0
79.3,7.46,0.47,29.09,44.68,0
3.35,16.79,0.53,45.91,27.68,0
5.05,73.2,0.91,17.0,67.33,0
62.78,63.16,0.77,13.67,3.85,0
105.24,117.78,0.68,34.13,43.16,0
66.47,119.2,0.59,5.74,23.32,0
68.65,102.24,0.29,34.42,44.12,0
9.9,59.61,0.57,35.39,2.83,0
67.29,87.2,0.98,28.93,35.59,0
48.05,76.9,0.5,20.64,36.49,0
32.7,54.39,0.95,49.24,50.3,0
15.81,110.16,0.49,17.45,53.17,0
92.32,59.41,0.77,18.64,68.91,0
