h2,ch4,c2h2,c2h4,c2h6
2.0,41.0,21.0,9.0,133.0
650.0,53.0,0.001,20.0,35.0
78.0,20.0,28.0,13.0,11.0
109.0,4.0,0.001,9.0,11.0
25.81,81.79,40.16,46.21,0.2
68.0,78.0,0.001,136.0,103.0
77.0,36.0,76.0,18.0,27.0
2510.0,202.0,1730.0,208.0,139.0
5000.0,1200.0,1100.0,1000.0,83.0
42.0,124.0,0.001,8.0,1.0
110.0,7.0,0.001,0.001,0.001
41.18,23.2,25.92,22.71,0.21
31.2,8.9,0.001,4.4,119.0
79.3,7.46,44.68,29.09,0.47
14.0,15.0,0.001,73.0,42.0
181.0,262.0,0.001,28.0,41.0
160.0,10.0,1.0,1.0,3.0
92600.0,10200.0,0.001,0.001,0.001
174.0,27.0,29.0,12.0,6.0
30.4,117.0,0.1,138.0,44.2
629.0,402.0,1127.0,298.0,16.0
111.0,2.8,27.5,0.001,47.0
14.15,70.58,60.37,12.22,0.89
1790.0,580.0,619.0,336.0,321.0
210.0,43.0,187.0,102.0,12.0
10.0,44.0,0.001,28.0,106.0
16.0,68.0,0.001,15.0,124.0
20000.0,13000.0,57000.0,29000.0,1850.0
720.0,7.0,101.0,15.0,0.001
27.0,49.0,0.001,9.0,192.0
0.001,0.001,0.001,142.0,0.001
64.0,18.0,122.0,4.0,1.0
407.0,28.0,0.001,21.0,15.0
200.0,48.0,131.0,117.0,14.0
16.0,80.0,0.001,10.0,134.0
36.0,30.0,7.1,93.0,10.0
8.0,88.0,0.001,252.0,45.0
127.0,24.0,81.0,32.0,0.001
102.0,6.0,10.0,7.0,6.0
755.0,229.0,460.0,404.0,32.0
160.0,130.0,0.1,96.0,33.0
24.0,47.0,0.001,10.0,113.0
980.0,73.0,0.001,12.0,58.0
231.0,3997.0,0.001,5584.0,1726.0
43.0,28.0,0.001,9.0,72.0
320.0,131.0,0.001,127.0,187.0
1374.0,2648.0,298.0,5376.0,628.0
39.0,525.0,16.0,2925.0,538.0
6600.0,1000.0,19.0,2.0,38.0
8.0,16.0,0.001,7.0,88.0
21.0,14.0,0.001,90.0,191.0
74.0,100.0,0.001,17.0,85.0
1230.0,163.0,692.0,233.0,27.0
