h2,ch4,c2h2,c2h4,c2h6,act
123.0,50.7,65.9,62.0,9.0,3
392.0,153.0,236.0,45.0,82.0,3
0.001,0.001,35.0,5.0,10.0,3
169.0,38.0,5.8,6.5,48.5,2
400.0,940.0,24.0,820.0,210.0,6
16.0,80.0,0.001,10.0,134.0,4
0.001,4.9,0.001,172.0,81.0,5
37.0,123.0,0.001,52.0,67.0,4
30.0,51.0,0.001,54.0,12.0,6
629.0,402.0,1127.0,298.0,16.0,3
124.0,166.0,0.001,59.0,87.0,4
142.0,17.0,38.0,7.0,4.0,2
0.001,116.0,0.001,0.001,70.0,4
22.0,14.0,56.0,6.0,19.0,3
46.0,147.0,0.001,150.0,27.0,6
134.0,13.0,0.001,0.001,267.0,1
8200.0,3790.0,277.0,4620.0,250.0,3
115.0,25.5,8.6,12.2,110.0,2
30.0,14.0,43.0,9.0,1.0,3
3420.0,7870.0,33.0,6990.0,1500.0,6
17.0,40.0,0.001,86.0,11.0,6
41.0,16.0,106.0,58.0,19.0,3
25.0,49.0,0.001,58.0,42.0,5
1900.0,530.0,434.0,383.0,35.0,3
0.001,3.4,0.001,54.0,0.001,6
103.0,74.0,0.001,9.0,80.0,4
32930.0,2397.0,0.001,0.001,157.0,1
225.0,4.7,89.0,8.7,0.001,2
476.0,28.0,148.0,36.0,27.0,2
160.0,130.0,0.1,96.0,33.0,5
174.0,27.0,29.0,12.0,6.0,2
1570.0,735.0,1740.0,1330.0,87.0,3
48.0,20.0,31.0,41.0,69.0,3
9.0,47.0,0.001,628.0,144.0,6
113.0,21.0,4.0,0.001,48.0,1
187.0,5.0,0.001,0.001,1.0,1
78.0,66.0,0.001,2.6,283.0,4
50.0,42.0,33.0,10.0,98.0,3
99.0,170.0,190.0,200.0,20.0,3
119.0,8.0,12.3,7.9,23.3,2
543.0,120.0,1880.0,411.0,41.0,2
650.0,81.0,270.0,51.0,170.0,2
68.0,78.0,0.001,136.0,103.0,6
150.0,130.0,30.0,55.0,9.0,3
157.0,46.0,0.001,12.0,76.0,4
1900.0,285.0,7730.0,957.0,31.0,2
215.0,84.8,212.0,1002.0,87.7,3
42.0,124.0,0.001,8.0,1.0,4
120.0,31.0,94.0,66.0,0.001,3
2800.0,2800.0,3600.0,3500.0,234.0,3
376.0,575.0,0.001,1092.0,146.0,6
12.4,6.5,15.0,69.0,15.3,3
300.0,700.0,36.0,1700.0,280.0,6
60.0,10.0,4.0,4.0,4.0,2
2850.0,1115.0,3675.0,1987.0,138.0,3
62.0,425.0,26.0,651.0,276.0,5
160.0,130.0,0.001,96.0,33.0,4
20.0,19.0,0.001,77.0,45.0,6
24.0,109.0,0.001,0.001,69.0,4
7.0,15.0,0.001,58.0,78.0,4
88.0,21.8,41.5,41.2,79.2,3
1330.0,10.0,182.0,66.0,20.0,2
0.001,43.0,0.001,9.0,146.0,4
4127.0,267.0,2060.0,355.0,18.0,2
1000.0,500.0,500.0,400.0,1.0,2
980.0,73.0,0.001,12.0,58.0,1
1790.0,580.0,619.0,336.0,321.0,2
385.0,60.0,159.0,53.0,8.0,2
295.0,1466.0,32.0,1295.0,331.0,5
143.0,5.8,26.3,10.6,16.0,2
24.0,80.0,6.0,741.0,258.0,5
2.0,5.0,0.001,172.0,81.0,5
10.0,44.0,0.001,28.0,106.0,4
176.0,205.9,68.7,75.7,47.7,3
69.0,174.0,0.001,15.0,267.0,4
0.001,153.0,13.0,677.0,130.0,6
8800.0,64064.0,0.001,95650.0,72128.0,6
181.0,262.0,0.001,28.0,41.0,4
75.0,5.0,36.0,69.0,31.0,3
179.0,39.3,168.0,654.0,64.0,2
17.0,42.0,20.0,12.0,192.0,3
39.0,7.0,0.001,65.0,12.0,6
6.0,2990.0,67.0,26076.0,29990.0,6
24.0,47.0,0.001,10.0,113.0,4
121.0,3.0,0.001,0.001,1.0,1
12705.0,23498.0,5188.0,34257.0,6047.0,6
843.0,133.0,385.0,168.0,12.0,2
20.0,26.0,0.001,55.0,6.0,6
109.0,226.0,0.001,192.0,68.0,5
300.0,490.0,95.0,360.0,180.0,5
127.0,24.0,81.0,32.0,0.001,3
46.0,20.0,42.0,10.0,14.0,3
21.0,14.0,0.001,90.0,191.0,4
27.0,28.0,0.001,8.0,136.0,4
43.0,116.0,0.001,139.0,65.0,5
5900.0,1500.0,800.0,1200.0,68.0,3
26.0,68.0,59.0,31.0,93.0,3
3910.0,4290.0,1230.0,6040.0,626.0,6
43.0,28.0,0.001,9.0,72.0,4
8200.0,3790.0,5830.0,4620.0,250.0,3
27.0,90.0,0.2,63.0,42.0,5
205.0,20.0,6.0,0.001,8.0,2
407.0,28.0,0.001,21.0,15.0,1
1100.0,1600.0,26.0,2010.0,221.0,6
27.0,30.0,0.1,2.4,23.0,4
65.4,20.2,40.2,39.0,70.0,3
109.0,102.0,0.001,91.0,28.0,5
86.0,277.0,0.001,338.0,63.0,6
71.0,151.0,412.0,89.0,9.0,3
60.0,85.0,227.0,67.0,5.0,3
161.0,38.0,0.001,13.0,210.0,4
1.0,27.0,1.0,4.0,49.0,4
39.4,65.2,0.001,8.1,103.9,4
26.6,4.0,50.0,8.0,0.001,3
26788.0,18342.0,0.001,27.0,2111.0,1
595.0,80.0,244.0,89.0,9.0,2
37.0,11.8,83.3,43.6,15.5,3
2.0,123.0,0.001,18.0,7.0,5
40280.0,1069.0,1.0,1.0,1060.0,1
23.0,63.0,0.3,10.0,54.0,2
36036.0,4704.0,10.0,5.0,554.0,1
54.0,143.0,0.001,101.0,23.0,5
19.0,47.0,0.001,62.0,27.0,5
