h2,ch4,c2h2,c2h4,c2h6
178.86350810926345,28.942253430842232,32.884506861684464,16.91076055189883,9.994750311894748
1230.0,163.0,692.0,233.0,27.0
56.0,286.0,7.0,928.0,96.0
35.4379126013539,91.7476509703523,0.001,57.43391316629058,19.69426106606493
151.0,51.0,19.0,12.0,16.0
41.18,23.2,25.92,22.71,0.21
54.72333688640431,45.157161223666726,0.001,11.19590787219044,197.7642581644999
95.48848714860094,143.7548533017311,1.6227620624598895,208.4126405688405,32.6790067219706
40.91710552304855,64.93217724613064,0.001,58.01507172308208,22.0188396538526
231.23644215794965,15.536734995406626,13.509431183197616,10.154956074381456,20.496180081730856
110.89690487624674,226.7226304290464,0.001,193.80657607261597,68.0
19.00381960513197,63.087288661315824,0.001,51.30551031460538,20.087288661315824
88.69493728697172,20.799885226539384,48.466351569887806,26.75828494940946,0.4369087986704312
260.0,215.0,277.0,334.0,35.0
15.81,110.16,53.17,17.45,0.49
60.0,10.0,4.0,4.0,4.0
256.0,8.0,21.1,15.0,37.4
6.0,2990.0,67.0,26076.0,29990.0
103.86896004830658,10.933098047702735,0.001,1.9244986018910744,0.001
870.0,77.0,14.0,54.0,73.0
173.16416703852886,13.159400089246926,2.579700044623463,2.3164167038528864,3.789850022311732
13500.0,6110.0,4040.0,4510.0,212.0
42.92216324536998,112.37303956072876,0.001,72.32795192919289,20.39345017538117
102.0,6.0,10.0,7.0,6.0
27.648320158816727,28.249273076398765,54.91723917120641,41.4986365300724,0.6343502825432696
482.2551971458846,45.98369179441828,140.9629032108798,37.04253285764744,70.2651135923686
160.0,10.0,1.0,1.0,3.0
31.0,63.0,7.0,714.0,246.0
13.2,18.7,4.7,79.5,97.4
8.0,16.0,0.001,7.0,88.0
460.79486954115714,113.09200584379472,1417.5097912420565,324.6500730474339,38.23680233751789
60.48,65.82,17.66,50.8,0.19
7793.326448594152,812.9555775754594,5.994229710361655,13.845008259179098,54.568840435952936
19.38803547492919,62.25259628273044,0.001,53.77607094985838,21.38803547492919
32.891736010941145,17.55808247186724,25.64320716391096,27.42065191138457,0.2358684893541162
13.0,3.0,6.0,3.0,1.0
14.0,15.0,0.001,73.0,42.0
5900.0,1500.0,800.0,1200.0,68.0
124.0,166.0,0.001,59.0,87.0
9.518461186873886,53.407694065630565,0.7410286371564938,9.851536527806376,140.18461186873887
107.57888222801274,104.96066202497344,0.001,89.46045574701381,28.35527944299681
163.0,26.0,133.0,19.0,7.0
27.0,90.0,0.2,73.0,42.0
137.0,33.0,111.0,29.0,8.0
10.0,44.0,0.001,28.0,106.0
117.21276330745216,16.25532842391744,0.9468623639638232,2.840480710237743,1.0
183.0,6.0,0.001,5.0,0.001
16.32515476196377,45.25805032042837,51.197143405139634,6.653321036816411,0.93293068609139
222.7298746048763,15.040803362394472,1.8714839144575224,4.786019475033955,14.16302374749394
19.0,34.35,7.86,2.21,0.08
3.352022202688838,3.601081440305361,0.001,65.05947921679484,0.3358005981084258
26788.0,18342.0,0.001,27.0,2111.0
85.2,95.9,33.93,11.22,0.73
38.11752291584139,218.4019669223621,3.1854267574705157,287.74025508089824,15.925681838368757
114.0,241.0,0.001,574.0,80.0
10.0,56.0,0.001,70.0,72.0
119.0,8.0,12.3,7.9,23.3
179.85357936188802,174.67055356424802,3.9714479755681618,50.33676746765758,74.69251665996482
19.0,48.0,0.001,18.0,76.0
128.0,35.0,0.001,17.0,213.0
36.11049364927159,60.59944428434443,0.001,67.29006206638398,27.37845698580125
565.0,53.0,0.001,47.0,34.0
86.0,480.0,9.0,644.0,155.0
32.5217585546816,160.32627460862045,5.9349323549247055,1037.8484160984535,275.13045559430174
69.0,174.0,0.001,15.0,267.0
104.8244939209809,609.0701931691284,20.74085162373919,863.6198557831157,283.513069108944
74.8,30.1,0.001,13.6,82.3
37800.0,1740.0,8.0,8.0,249.0
88.58,20.9,48.65,26.93,0.43
65.4,20.2,40.2,39.0,70.0
3787.284463972207,219.15274140453616,1509.756526152166,280.2386584445877,20.392362929773192
738.3597754530911,58.35513790624795,0.001,17.857944837500824,41.15840859218514
46.0,147.0,0.001,150.0,27.0
697.6896060673771,60.54974207924491,10.876874109971212,39.97285699392242,57.73437603753169
53.0,189.0,5.0,295.0,25.0
26.6,4.0,50.0,8.0,0.001
79.0,40.0,0.001,10.0,264.0
89.0,281.0,22.0,1216.0,145.0
385.0,28.8,171.0,82.3,50.0
0.001,0.001,0.001,142.0,0.001
8.597118739331796,3.438931677026488,0.001,94.71661859553468,0.8598381458738339
42.03972114707879,107.33937258092726,0.001,55.488083655876366,23.787735089724848
84.0,6.0,86.0,14.0,1.0
505.4509174234473,1056.0177882269634,17.109604899284385,1438.9404859735844,297.2484377717113
3.814063471802736,122.4533730579014,0.001,4.694068888789291,73.81335680694173
9.917254283139926,17.41271368231363,0.0109899038963606,6.535822647239806,81.44097218925815
59.0,20.0,8.9,5.5,120.0
545.0,130.0,239.0,153.0,16.0
203.32426969845432,12.747413691635511,0.4607552426239978,12.48945657424995,8.458952002272937
25.74699040864259,64.31330337717307,0.0753255456599375,59.86747602160647,42.0
18.499632959638344,97.3874814411014,0.001,14.88638032001644,232.1806169588164
151.0,242.0,0.001,232.0,68.0
111.0,67.0,0.001,9.0,105.0
166.0,21.0,0.001,6.0,38.0
78.0,161.0,10.0,353.0,86.0
16.0,80.0,0.001,10.0,134.0
1500.0,395.0,323.0,395.0,28.0
26.0,398.0,0.001,319.0,85.0
160.0,24.7,0.001,0.001,38.5
179.0,39.3,168.0,654.0,64.0
50.61,5.46,47.88,37.51,0.7
86.0,277.0,0.001,338.0,63.0
625.0,130.0,0.0001,2.0,47.0
107.0,143.0,2.0,222.0,34.0
29.290871449896137,53.29087144989614,0.001,58.0,36.63641068762983
7020.0,1850.0,4410.0,2960.0,0.001
27.09,124.34,53.19,32.0,0.26
0.001,3.4,0.001,54.0,0.001
102.8797515347308,7.056944168022948,0.001,2.879928748578023,13.41159150416496
70.0,4.0,34.0,0.001,91.0
19.0,47.0,0.001,62.0,27.0
11.0,13.0,0.001,127.0,2.0
102.06987161218682,69.20769996702583,45.900974444575326,9.193769797614628,0.0709914543833385
87.0,34.0,60.0,15.0,23.0
15.0,7.0,0.001,5.0,92.0
137.0,279.0,0.001,505.0,66.0
23.264902012918725,26.171469552269876,54.75814905453156,30.84904123944032,0.6612456264488072
40280.0,1069.0,1.0,1.0,1060.0
92.95458031717472,11.235206630051085,47.70467195797168,6.45551788990147,0.4571060004775946
441.0,207.0,261.0,224.0,43.0
2.0,123.0,0.001,18.0,7.0
176.7670770597985,586.9634256034909,23.67886810440857,854.4858961801821,281.4159744230467
220.0,77.0,240.0,170.0,22.0
650.0,53.0,0.001,20.0,35.0
2177.0,1049.0,705.0,440.0,207.0
173.8992872454861,14.030040665747558,0.001,5.53533604438317,20.34323435051609
60.0,40.0,70.0,110.0,6.9
79.75423332467074,186.4363832077256,7.807427623327173,349.7108125162424,80.95657919157165
11.47264400227312,17.66915851748557,3.3908313172066755,73.50997516917292,91.99504736195138
124.45549480629744,15.183769272881642,0.001,5.418376927288164,117.76544997190892
19.3,103.0,0.6,19.0,159.0
161.50011801901445,674.0125796628347,0.6794884825082952,1298.248288724291,274.3832585879575
74.0,100.0,0.001,17.0,85.0
11.0,46.0,0.001,18.0,155.0
255.09323774380607,6.730532841328516,51.43119746968652,12.415727569847338,20.44399919030185
34.0,21.0,56.0,49.0,4.0
103.5,4.7,0.001,3.5,16.3
9.9,59.61,2.83,35.39,0.57
35.96606964227455,99.28977841094463,0.0165089553658818,69.68914529935786,22.947734093133555
12705.0,23498.0,5188.0,34257.0,6047.0
376.0,575.0,0.001,1092.0,146.0
97.73,12.93,34.03,13.26,0.98
63.81,34.15,23.03,36.6,0.02
301.0,5.78,5.0,9.7,4.7
41.0,16.0,106.0,58.0,19.0
6870.0,1028.0,5500.0,900.0,79.0
210.0,43.0,187.0,102.0,12.0
892.4666861438582,1900.8237694593813,190.9432392626105,3791.9153162260127,481.8519739311156
36.0,30.0,7.1,93.0,10.0
96.09055264308252,14.70520410446365,21.07264203667328,10.749711744397052,16.42716579292476
17.0,42.0,20.0,12.0,192.0
54.06863854712556,20.200147020112617,62.606941215885335,39.094043238394256,0.3800155696507926
980.0,73.0,0.001,12.0,58.0
89.37,92.97,37.62,27.93,0.34
116.0,14.0,0.001,5.3,134.0
534.7975837059371,1268.3464893490873,49.6990194333317,1913.0726668235525,183.4727192686016
315.69062391090824,24.08077675149452,3.953142558385212,8.875752352747377,23.891653712107026
63.75,37.76,50.36,0.44,0.64
1.0,8.0,6.0,100.0,8.0
82188.06170619353,9302.887823249052,0.001,1.903829297323718,91.07134262287262
289.0,13.4,36.3,49.8,18.2
196.86206353873183,11.537912854751657,0.001,13.965545508719416,6.144878646045699
56.0,61.0,31.0,32.0,75.0
24.0,78.0,7.0,779.0,266.0
18.34,16.26,16.42,17.95,3.38
41.65,73.61,24.65,5.21,0.72
179.0,29.0,33.0,17.0,10.0
115.46778503355374,6.0,12.501160077659982,6.769123685139078,8.077886833748291
91.5,6.64,54.53,39.61,0.14
62.0,425.0,26.0,651.0,276.0
140.0391098049558,237.8244227828403,0.001,221.56105695710076,68.0
5900.0,1500.0,2300.0,1200.0,68.0
122.0,161.0,0.001,35.0,271.0
101.0,8.1,0.001,3.0,0.001
878.0576633825203,61.42970384131194,0.4564318372643936,25.695745838724285,34.54434033290206
82.42,6.62,50.08,30.73,0.54
55.0,22.0,0.001,2.6,358.0
235.0,16.0,0.001,35.0,0.001
300.0,700.0,36.0,1700.0,280.0
476.0,28.0,148.0,36.0,27.0
27.0,90.0,0.2,63.0,42.0
25.0,28.0,80.0,15.0,27.0
60.56,18.39,64.45,38.43,0.32
92.0,27.0,0.001,7.0,67.0
13530.309456085906,1005.022071743709,6.187399588347917,5.322832990289931,195.4334019420138
169.01840354864058,612.0122660781392,2.0946830746147,653.2515299361936,217.9856836669286
11.0,271.0,0.001,32.0,465.0
16.0,68.0,0.001,15.0,124.0
65.65610507702893,160.47623642331507,0.001,51.54100656731431,37.458993432685695
61.0,21.0,89.0,26.0,2.0
43.0,116.0,0.001,139.0,65.0
23.700398733118583,20.095036901629395,6.416028869292274,70.2658295779967,114.7974887339901
407.0,28.0,0.001,21.0,15.0
121.0,73.0,0.001,11.0,179.0
4419.0,3564.0,2025.0,2861.0,668.0
29.05,87.93,66.45,44.62,0.96
8728.91115066425,1032.5529460485657,3.0176807667589225,2.586664797797796,38.3786068205228
116.21347981338428,17.78652018661571,1.5898901399617835,2.4103064900848703,10.241612192734609
7.9571596783448735,131.57382707016333,6.142076817056463,879.0983785722184,159.48631553782172
716.0,7.1,6.8,20.0,33.0
200.0,48.0,131.0,117.0,14.0
65.37430493529337,134.71927129852995,0.001,57.441773027148734,36.389556743212815
17.19,35.19,47.55,4.44,0.95
5100.0,1430.0,1010.0,1140.0,0.001
6.0,38.0,0.001,32.0,93.0
78.0,66.0,0.001,2.6,283.0
51.78,48.96,66.77,48.45,0.29
810.0,580.0,490.0,570.0,111.0
63.94373072650532,436.0042470434535,11.074880838346422,237.6660700216537,90.99111537786926
61.9110343007436,6.247803018525172,46.619515170359726,34.193349292009025,0.6094026528696052
110.03665174254498,7.052359632207107,0.0062307272574899,0.0167026536989109,0.0062307272574899
85.0,98.0,0.001,30.0,315.0
116.231624924615,13.514476557788438,11.907572255023986,0.4864020613510087,4.0
106.21839414151653,11.15976644433182,0.001,0.001,0.001
110.0,62.0,250.0,140.0,90.0
20000.0,13000.0,57000.0,29000.0,1850.0
51.0486856503911,100.49600302303898,15.338288884256816,6.960362509789436,0.6602050074295533
385.0,49.52201233396606,163.0299952561669,62.83990508380752,22.104983396584156
1170.0,255.0,325.0,312.0,18.0
136.81551060645444,236.596384992935,0.001,218.4909624823376,68.0
0.001,28.0,6.0,408.0,64.0
78.0,20.0,28.0,13.0,11.0
25.0,9.0,44.0,5.0,6.0
111.7,19.4,3.8,6.4,104.1
500.0,97.0,121.0,40.0,193.0
290.0,966.0,57.0,1810.0,299.0
104.52875186563683,11.584642467316394,0.001,1.6771591443693838,0.001
6709.0,10500.0,750.0,17700.0,1400.0
89.59344039071206,9.851573371372735,26.697382056512428,10.68403691249797,0.6651228475615204
9.0,47.0,0.001,628.0,144.0
10.0,26.0,0.001,6.0,147.0
203.69428144007588,1106.2979366499735,18.410736333958088,1798.2431464814422,328.87661119628086
25.81,81.79,40.16,46.21,0.2
137.0,67.0,104.0,53.0,7.0
24.0,20.0,0.001,87.0,4.0
35.0,6.0,482.0,26.0,3.0
0.001,215.0,0.001,18.4,555.0
38.0,38.0,0.001,14.0,296.0
38.08484673046988,87.59243783885847,0.001,57.27121168261747,19.813635047852408
635.9889704565587,131.3066913230156,2280.873601452371,448.414869468888,40.3147459804233
151.0,13.5,9.2,5.0,50.7
62.448436473102376,153.25898206448034,0.001,51.340527279568896,37.659472720431104
4.0,1.0,52.0,7.0,2.0
100.77004012500088,321.1918511650143,7.419720973034913,188.99991610468007,78.90571037623035
20.0,26.0,0.001,55.0,6.0
117.0,17.0,1.0,3.0,1.0
34.0,174.0,0.001,361.0,52.0
2587.0,7.88,0.001,1.4,4.7
32.4,5.5,13.2,12.6,1.4
2304.047104538533,464.931385156817,7614.836815614621,1063.6457223661214,38.985120643054
235.46,333.59,148.87,1201.85,177.52
667.3327740185703,17.114991131715698,30.208533488588493,19.195583041629263,3.5815459354297583
103.0,74.0,0.001,9.0,80.0
27.043373100998352,43.60843275249587,0.001,54.29566268990016,10.22602386059901
195.7019882901455,7.651660771987409,0.001,5.265561181946141,2.3172103633350605
165.29259412430477,21.045257917266493,28.241613036633,11.606762315291183,8.808840605062976
121.0,3.0,0.001,0.001,1.0
200.0,700.0,1.0,740.0,250.0
74.0,173.0,0.001,33.0,263.0
8.0,1.0,0.001,60.0,0.001
115.0,129.0,0.001,36.0,316.0
31.0,56.0,0.001,77.0,33.0
1651.0,90.0,2.0,45.0,33.0
6.44,18.36,5.01,44.49,0.37
142.0,17.0,38.0,7.0,4.0
91.23875090749536,130.04554869109208,1.5684008638915508,203.43195312389864,48.249896439798725
84.18750645662509,71.98389073013459,38.731131826606926,32.867588924479065,0.4825486327417136
90.69650358828086,280.9739645746992,0.001,355.3409363259601,66.61269506790835
27.0,30.0,0.1,2.4,23.0
17.0,21.0,4.0,0.001,118.0
9.901493100192331,51.49253449903834,0.5497041964539305,11.95821205105782,144.01493100192332
0.001,100.0,7.0,1365.0,309.0
