h2,ch4,c2h2,c2h4,c2h6
127.0,24.0,81.0,32.0,0.001
46.0,20.0,42.0,10.0,14.0
21.0,14.0,0.001,90.0,191.0
27.0,28.0,0.001,8.0,136.0
88.58,20.9,48.65,26.93,0.43
43.0,116.0,0.001,139.0,65.0
5900.0,1500.0,800.0,1200.0,68.0
26.0,68.0,59.0,31.0,93.0
3910.0,4290.0,1230.0,6040.0,626.0
43.0,28.0,0.001,9.0,72.0
60.56,18.39,64.45,38.43,0.32
8200.0,3790.0,5830.0,4620.0,250.0
27.0,90.0,0.2,63.0,42.0
205.0,20.0,6.0,0.001,8.0
6.44,18.36,5.01,44.49,0.37
407.0,28.0,0.001,21.0,15.0
29.05,87.93,66.45,44.62,0.96
1100.0,1600.0,26.0,2010.0,221.0
27.0,30.0,0.1,2.4,23.0
65.4,20.2,40.2,39.0,70.0
109.0,102.0,0.001,91.0,28.0
86.0,277.0,0.001,338.0,63.0
71.0,151.0,412.0,89.0,9.0
60.0,85.0,227.0,67.0,5.0
91.5,6.64,54.53,39.61,0.14
161.0,38.0,0.001,13.0,210.0
97.73,12.93,34.03,13.26,0.98
1.0,27.0,1.0,4.0,49.0
39.4,65.2,0.001,8.1,103.9
73.44,3.74,12.14,5.57,0.04
26.6,4.0,50.0,8.0,0.001
26788.0,18342.0,0.001,27.0,2111.0
595.0,80.0,244.0,89.0,9.0
95.14,114.68,27.42,31.47,0.95
37.0,11.8,83.3,43.6,15.5
2.0,123.0,0.001,18.0,7.0
40280.0,1069.0,1.0,1.0,1060.0
23.0,63.0,0.3,10.0,54.0
36036.0,4704.0,10.0,5.0,554.0
54.0,143.0,0.001,101.0,23.0
19.0,47.0,0.001,62.0,27.0
301.0,5.78,5.0,9.7,4.7
2500.0,10500.0,6.0,13500.0,4790.0
119.0,670.0,19.0,934.0,286.0
19.0,48.0,0.001,18.0,76.0
7.0,31.0,0.001,148.0,23.0
92.32,59.41,68.91,18.64,0.77
99.0,288.0,0.001,386.0,73.0
56.0,286.0,7.0,28.0,96.0
124.0,14.0,13.0,0.001,4.0
5900.0,1500.0,2300.0,1200.0,68.0
3090.0,5020.0,2540.0,3800.0,323.0
200.0,48.0,131.0,117.0,14.0
235.46,333.59,148.87,1201.85,177.52
135.0,27.0,13.0,9.0,24.0
70.0,4.0,34.0,0.001,91.0
38.0,38.0,0.001,14.0,296.0
11.0,271.0,0.001,32.0,465.0
57.0,141.0,0.001,51.0,38.0
68.81,65.89,66.96,25.1,0.47
18.34,16.26,16.42,17.95,3.38
63.75,37.76,50.36,0.44,0.64
4.0,1.0,52.0,7.0,2.0
12.0,28.0,0.001,3.0,102.0
13500.0,6110.0,4040.0,4510.0,212.0
14.98,22.72,54.38,6.62,0.73
110.0,62.0,250.0,140.0,90.0
2177.0,1049.0,705.0,440.0,207.0
73.0,177.0,0.001,52.0,37.0
25.0,9.0,44.0,5.0,6.0
6.0,197.0,0.001,16.9,476.9
117.0,17.0,1.0,3.0,1.0
254.0,5.2,88.0,9.3,0.001
57.0,148.0,42.0,72.0,197.0
96.95,44.33,48.3,25.08,0.11
10.0,24.0,0.001,5.0,80.0
34.0,83.0,0.001,136.0,100.0
170.0,320.0,3.2,520.0,53.0
