c2h2/c2h4,ch4/h2,c2h4/c2h6
0.8958,0.4526,21.2736
0.0,2.3378,0.1255
0.25,27.0,0.0816
2.0778,0.0748,1.646
3.6111,0.0538,4.5
1.0,0.1468,1.0
3.688,0.1291,7.8052
0.0001,187000.0,0.0213
0.0,1.5854,2.6364
0.0,4.4,0.2642
0.0001,4.25,0.121
0.0002,3.2632,0.0526
2.5,22.0,0.0657
0.0,2.3529,7.8182
5.3333,1.12,0.5556
1.1417,0.3255,1.8727
0.0,1.2124,0.1965
0.0,3.5,2.55
0.1429,1.0,0.0565
0.0001,2.9524,8.0
2.2249,1.0852,22.9464
1.2818,1.4893,118.6897
2.7576,0.0075,3.3
1.3191,1.619,9.4
1.0,0.1102,1.0
1.4845,0.0365,0.3527
0.0001,6.5625,0.067
0.0197,5.48,3.3684
0.625,0.2576,0.1107
0.0,6000.0,1.2885
8.4545,0.4565,11.0
0.2036,1.0972,9.6486
0.0,1.7,4.5
1.9301,1.318,32.7143
0.0001,0.293,0.1579
1.6182,0.339,0.0458
0.0283,2.0641,4.1047
0.2346,1.6507,79.3415
0.0,1.1818,63.5
0.0,0.125,60000.0
0.0169,3.566,11.8
0.0,1.6026,3.4118
1.0,0.097,0.0
1.1386,0.3033,12.625
1.0,116000.0,0.0
0.0,0.8125,2.9091
0.0991,5.195,1.9452
2.5312,0.189,32000.0
40000.0,0.4419,0.0003
5.215,0.6834,125.5714
0.0001,0.5063,0.0379
0.0,7.7375,7.6074
0.6029,5.0119,86.6226
0.0,1.7095,7.9315
0.0,2.4412,1.36
0.0001,2.4483,0.1266
0.0763,0.8333,9.3
1.9106,0.3189,2.8129
0.7561,0.4167,0.5942
3.2453,1.5514,29.9423
0.7899,0.79,33.8721
5.0,0.2083,8.0
18.5385,0.1714,8.6667
0.0,0.8286,11.1429
0.0003,0.0454,0.2147
0.0003,2.3333,0.0294
0.6364,0.6667,15.942
10.7095,2.0471,4.6737
0.0004,4.2,2.8184
0.0001,0.6512,0.125
6.1111,0.1496,11.3924
1.0,0.097,0.0
1.5359,0.0941,61.8936
0.0,0.4,87.0
1.9258,0.4572,228.0
0.0002,2.4,0.0625
0.0203,5.6303,3.2657
20.8571,0.3143,7000.0
0.0,2.9091,5.2877
1.1111,0.4211,13.5
0.0014,3.5,2.96
0.0,3.2209,5.3651
1.4545,0.2014,12.4742
11000.0,0.1176,0.0001
1.6297,0.0803,56.9074
0.0001,1.0,0.0473
1.8495,0.3912,14.3986
0.0001,0.0745,0.2069
1.4899,0.2635,2960000.0
0.0005,0.0187,0.0345
0.0001,0.236,0.0619
0.0292,1.5455,11.4286
2.329,0.8762,123.7727
1.8534,0.9369,37.6923
0.0001,0.208,0.0426
1.0323,0.3111,3.875
0.6684,1.6246,11.7647
0.0075,5.1071,9.6667
0.0195,1.9419,68.3333
0.0001,0.6071,0.0662
0.0,2.1429,0.7436
2.2295,0.2991,19.0625
0.0001,0.4024,0.1652
13000.0,0.1129,0.0003
0.0,17.303,3.2352
1.3481,0.5242,4.7632
0.0002,0.2853,0.037
0.9688,1.0893,0.4267
0.7988,3.5713,72.2703
2.8818,0.1333,8.4615
0.0554,1.9272,8.5605
1.2632,0.0691,0.1166
0.0001,10.6154,0.1928
8.3173,0.0805,1.4964
0.0,2.114,7.175
0.1239,1.4168,6.7702
0.0,2.0169,1.9444
0.0,2.5,2.1235
0.0001,4.1818,0.1161
1.9167,0.2542,17.6471
0.0,3400.0,54000.0
0.8177,0.2633,14.1071
5.7792,0.535,12.2642
5.8028,0.0647,19.7222
1.0,0.1667,1.0
7.0,1.0,0.5
0.0002,0.1265,0.1579
0.0,0.9358,3.25
1.5833,0.3377,0.75
0.0,2.4247,1.4054
0.1476,2.122,0.9117
0.0,2.4737,1.3421
1.25,0.5,400.0
0.0,1.1471,1.3204
1.3767,0.0726,282.9286
1.737,0.2225,10.4286
2.97,0.1325,8.6296
3.1603,0.7632,18.7143
9.4624,0.0205,9300.0
1.1197,0.24,8.3571
0.0212,2.3333,6.0714
0.0001,1.4107,0.3
0.34,0.0099,6.0606
0.0032,3.3333,1.5
