h2,ch4,c2h2,c2h4,c2h6,act
2.0,41.0,21.0,9.0,133.0,3
650.0,53.0,0.001,20.0,35.0,1
78.0,20.0,28.0,13.0,11.0,2
109.0,4.0,0.001,9.0,11.0,1
25.81,81.79,40.16,46.21,0.2,0
68.0,78.0,0.001,136.0,103.0,6
77.0,36.0,76.0,18.0,27.0,3
2510.0,202.0,1730.0,208.0,139.0,2
5000.0,1200.0,1100.0,1000.0,83.0,3
42.0,124.0,0.001,8.0,1.0,4
110.0,7.0,0.001,0.001,0.001,1
41.18,23.2,25.92,22.71,0.21,0
31.2,8.9,0.001,4.4,119.0,4
79.3,7.46,44.68,29.09,0.47,0
14.0,15.0,0.001,73.0,42.0,5
181.0,262.0,0.001,28.0,41.0,4
160.0,10.0,1.0,1.0,3.0,2
92600.0,10200.0,0.001,0.001,0.001,1
174.0,27.0,29.0,12.0,6.0,2
30.4,117.0,0.1,138.0,44.2,5
629.0,402.0,1127.0,298.0,16.0,3
111.0,2.8,27.5,0.001,47.0,2
14.15,70.58,60.37,12.22,0.89,0
1790.0,580.0,619.0,336.0,321.0,2
210.0,43.0,187.0,102.0,12.0,3
10.0,44.0,0.001,28.0,106.0,4
16.0,68.0,0.001,15.0,124.0,4
20000.0,13000.0,57000.0,29000.0,1850.0,3
720.0,7.0,101.0,15.0,0.001,2
27.0,49.0,0.001,9.0,192.0,4
0.001,0.001,0.001,142.0,0.001,6
64.0,18.0,122.0,4.0,1.0,3
407.0,28.0,0.001,21.0,15.0,1
200.0,48.0,131.0,117.0,14.0,3
16.0,80.0,0.001,10.0,134.0,4
36.0,30.0,7.1,93.0,10.0,6
8.0,88.0,0.001,252.0,45.0,6
127.0,24.0,81.0,32.0,0.001,3
102.0,6.0,10.0,7.0,6.0,2
755.0,229.0,460.0,404.0,32.0,3
160.0,130.0,0.1,96.0,33.0,5
24.0,47.0,0.001,10.0,113.0,4
980.0,73.0,0.001,12.0,58.0,1
231.0,3997.0,0.001,5584.0,1726.0,5
43.0,28.0,0.001,9.0,72.0,4
320.0,131.0,0.001,127.0,187.0,4
1374.0,2648.0,298.0,5376.0,628.0,6
39.0,525.0,16.0,2925.0,538.0,6
6600.0,1000.0,19.0,2.0,38.0,1
8.0,16.0,0.001,7.0,88.0,4
21.0,14.0,0.001,90.0,191.0,4
74.0,100.0,0.001,17.0,85.0,4
1230.0,163.0,692.0,233.0,27.0,2
50.0,42.0,33.0,10.0,98.0,3
6709.0,10500.0,750.0,17700.0,1400.0,6
48.0,20.0,31.0,41.0,69.0,3
290.0,966.0,57.0,1810.0,299.0,6
128.0,35.0,0.001,17.0,213.0,4
300.0,700.0,36.0,1700.0,280.0,6
400.0,940.0,24.0,820.0,210.0,6
4230.0,690.0,1180.0,196.0,5.0,2
97.73,12.93,34.03,13.26,0.98,0
6.0,2990.0,67.0,26076.0,29990.0,6
41.0,16.0,106.0,58.0,19.0,3
820.0,1740.0,128.0,867.0,951.0,4
36.33,41.71,25.72,22.74,0.58,0
75.0,15.0,250.0,14.0,7.0,3
88.0,21.8,41.5,41.2,79.2,3
37.0,96.0,0.001,57.0,19.0,5
26788.0,18342.0,0.001,27.0,2111.0,1
235.46,333.59,148.87,1201.85,177.52,3
109.0,226.0,0.001,192.0,68.0,5
60.0,85.0,227.0,67.0,5.0,3
6.44,18.36,5.01,44.49,0.37,0
124.0,166.0,0.001,59.0,87.0,4
55.0,22.0,0.001,2.6,358.0,4
36036.0,4704.0,10.0,5.0,554.0,1
441.0,207.0,261.0,224.0,43.0,3
34.0,174.0,0.001,361.0,52.0,6
24.0,78.0,7.0,779.0,266.0,5
35.0,11.0,146.0,7.0,0.001,3
500.0,97.0,121.0,40.0,193.0,2
137.0,279.0,0.001,505.0,66.0,6
16.0,98.0,0.001,64.0,35.0,5
5.0,14.0,0.001,5.0,234.0,4
179.0,39.3,168.0,654.0,64.0,2
42.13,62.69,37.19,37.46,0.77,0
60.0,5.0,32.0,21.0,2.0,3
716.0,7.1,6.8,20.0,33.0,2
26.6,4.0,50.0,8.0,0.001,3
78.0,66.0,0.001,2.6,283.0,4
93.5,131.9,0.001,11.7,39.0,4
40280.0,1069.0,1.0,1.0,1060.0,1
3559.0,187.0,1140.0,230.0,22.0,2
14.98,22.72,54.38,6.62,0.73,0
120.0,25.0,40.0,8.0,1.0,2
0.001,33.7,0.001,11.4,136.0,4
62.78,63.16,3.85,13.67,0.77,0
124.0,14.0,13.0,0.001,4.0,2
69.0,174.0,0.001,15.0,267.0,4
14.0,14.0,1.0,7.0,124.0,4
10000.0,6730.0,10400.0,7330.0,345.0,3
180.0,175.0,4.0,50.0,75.0,5
6.0,38.0,0.001,32.0,93.0,4
157.0,46.0,0.001,12.0,76.0,4
0.001,116.0,0.001,0.001,70.0,4
16.91,4.13,9.13,6.2,0.53,0
650.0,81.0,270.0,51.0,170.0,2
19.0,47.0,0.001,62.0,27.0,5
24.0,20.0,0.001,87.0,4.0,6
810.0,580.0,490.0,570.0,111.0,3
200.0,700.0,1.0,740.0,250.0,5
63.81,34.15,23.03,36.6,0.02,0
37.0,123.0,0.001,52.0,67.0,4
0.001,21.0,40.0,0.001,0.001,3
181.5,22.0,0.001,3.7,76.0,1
1570.0,735.0,1740.0,1330.0,87.0,3
90.0,28.0,32.0,31.0,8.0,3
105.0,23.0,3.0,4.0,13.0,1
59.0,119.0,0.001,70.0,36.0,5
217.0,286.0,884.0,458.0,14.0,3
172.9,334.0,37.7,812.5,172.0,6
197.0,12.0,0.001,15.0,6.6,1
21.0,42.0,0.001,92.0,4.0,6
19.0,12.0,63.0,8.0,2.0,3
254.0,5.2,88.0,9.3,0.001,2
565.0,53.0,0.001,47.0,34.0,2
34.0,83.0,0.001,136.0,100.0,6
38.0,38.0,0.001,14.0,296.0,4
46.0,21.0,93.0,11.0,1.0,3
24.0,109.0,0.001,0.001,69.0,4
111.0,67.0,0.001,9.0,105.0,4
1900.0,285.0,7730.0,957.0,31.0,2
5100.0,1430.0,1010.0,1140.0,0.001,3
88.58,20.9,48.65,26.93,0.43,0
1.0,27.0,1.0,4.0,49.0,4
1900.0,530.0,434.0,383.0,35.0,3
1.0,8.0,6.0,100.0,8.0,6
5900.0,1500.0,2300.0,1200.0,68.0,3
4.0,2.0,0.001,63.0,1.0,6
7.0,31.0,0.001,148.0,23.0,6
9.14,1.39,24.85,40.92,0.31,0
25.0,49.0,0.001,58.0,42.0,5
1000.0,500.0,500.0,400.0,1.0,2
625.0,130.0,0.0001,2.0,47.0,4
50.0,274.0,6.3,320.0,95.0,5
245.0,120.0,167.0,131.0,18.0,3
16000.0,3600.0,0.001,14.0,670.0,1
46.0,20.0,42.0,10.0,14.0,3
234.5,30.28,175.88,47.69,6.11,2
12.0,270.0,0.001,275.0,0.001,6
122.0,161.0,0.001,35.0,271.0,4
100.0,200.0,11.0,670.0,110.0,6
27.0,28.0,0.001,8.0,136.0,4
183.0,6.0,0.001,5.0,0.001,1
620.0,325.0,244.0,181.0,38.0,3
88.7,460.8,18.3,184.6,94.9,5
30.0,14.0,43.0,9.0,1.0,3
57.0,141.0,0.001,51.0,38.0,5
38.63,59.93,50.53,15.57,0.52,0
476.0,28.0,148.0,36.0,27.0,2
2500.0,10500.0,6.0,13500.0,4790.0,6
32930.0,2397.0,0.001,0.001,157.0,1
119.0,8.0,21.0,0.001,20.0,2
