h2,ch4,c2h2,c2h4,c2h6
124.14820240559504,26.186115180419627,10.612604529230904,10.736287615104796,70.66272965594139
18.63,73.23,67.61,26.4,0.41
42.05619290699362,113.4448149433242,0.001,139.75964961144416,65.36831496312443
156.62326830696128,22.529085383701595,9.822437800237584,1.4727262954338336,17.94494363281065
2770.0,660.0,763.0,712.0,54.0
88.58,20.9,48.65,26.93,0.43
16.0,98.0,0.001,64.0,35.0
81.21472358437914,68.06316410049416,59.318563068548514,30.57509998607138,0.3798761022754702
92.32,59.41,68.91,18.64,0.77
33.58248787964342,301.1126548712229,0.001,237.27763063050975,115.3299515185737
11.48636422333285,30.785511508850306,0.001,63.97737664526216,36.88688322631079
49.71302505533397,118.3505611926807,0.0331472209623054,92.08091944885628,38.66269911000914
59.0,119.0,0.001,70.0,36.0
135.0,27.0,13.0,9.0,24.0
20.016894915617332,116.77543033698416,46.54194536200277,30.08727299126553,0.2699621198371587
213.20675361800645,8.966734730339919,0.001,7.157625258429032,2.0236388281985658
645.0,86.0,317.0,110.0,13.0
24.54078933644537,49.91842132710926,0.001,57.54078933644537,40.55676648597117
2968.216535232761,195.44780931507012,1472.280499726092,217.6098796712305,87.89291265754709
19.899576097946788,147.3586567930472,0.001,12.84359309794614,443.1722531011046
43.0,19.0,40.0,0.001,3.0
500.0,97.0,121.0,40.0,193.0
80.0,619.0,0.001,2480.0,326.0
10.0,15.0,35.0,0.001,0.001
31.0,63.0,7.0,714.0,246.0
42.13,62.69,37.19,37.46,0.77
21.0,14.0,0.001,90.0,191.0
120.0,31.0,94.0,66.0,0.001
92.89066565782171,11.313778366270668,16.832000756633715,9.277333585544572,7.89777798795381
227.86425228014605,29.88278321341294,171.90040752129596,45.02734822262084,6.192598817771609
154.8968186816306,16.9593972238879,0.001,1.628312259017928,182.9727922486012
338.8508562371178,1280.505297679778,9.085574583047062,891.7685418792223,230.3969030094183
137.0,33.0,111.0,29.0,8.0
13.547394734803506,27.598127987187397,0.001,6.554071769964274,217.68224641537512
35.0,29.0,0.001,78.0,7.0
4879.0,262.0,1827.0,332.0,15.0
1790.0,580.0,619.0,336.0,321.0
16.4,45.5,0.001,3.8,68.7
81.93644126937332,8.45512040008014,42.90170580001385,34.26508463321494,0.6210937001672076
8.0,1.0,0.001,60.0,0.001
63.34400538171884,33.924518733089755,23.08951058094709,36.3139785573166,0.0239124603390818
37.0,123.0,0.001,52.0,67.0
65.0810539195767,298.081815104353,11.647416443578642,799.2026347989417,261.49138814526214
18478.09885141397,3423.9129995126395,0.001,11.950921097404356,594.9105309642428
54.9,8.8,0.001,2.5,80.0
19.0,48.0,0.001,18.0,76.0
0.001,0.001,35.0,5.0,10.0
110.13647927219137,3.905293393984053,0.001,8.147735252462493,10.05293393984053
240.0,20.0,96.0,28.0,5.0
34.0,83.0,0.001,136.0,100.0
1084.0,188.0,769.0,166.0,8.0
25.774351857263003,361.8962971620805,0.7906556755081207,370.8990728295093,105.4211569176982
20.63,31.48,46.42,29.21,0.9
16.0,80.0,0.001,10.0,134.0
3083.2396901610164,7246.129938823934,371.2714137933895,7790.8850958350195,1176.1922256422013
9.295632886151216,54.78992996590824,2.8809065392473525,44.40100464161824,85.38892532429
290.0,966.0,57.0,1810.0,299.0
1000.0,500.0,500.0,400.0,1.0
92600.0,10200.0,0.001,0.001,0.001
4.064334439431294,8.61233016321749,0.001,68.74155344214499,49.09741092975835
86.56333363943284,1262.472002574576,4.884633951002945,2231.255160084419,707.2679570703958
161.0,38.0,0.001,13.0,210.0
1.724231643913278,189.87253149510465,0.001,14.120287283090812,571.0538589496676
137.0,279.0,0.001,505.0,66.0
79.61530221351222,8.560425606098937,40.81702586094301,31.89013422728401,0.5409952003934798
124.0,166.0,0.001,59.0,87.0
45.704983191220215,105.93214995618264,8.34382405883256,375.7724191910523,76.89103232357908
72.7760418710292,74.4394184401551,42.1262533948058,31.843537511129853,0.7261556147472961
79.65083951454233,46.44563722182011,21.600610588316695,22.29739469710461,133.21745111271957
57.74502359640521,168.26115141646852,0.001,373.1046676529511,63.85621140616954
5000.0,1200.0,1100.0,1000.0,83.0
39.4,65.2,0.001,8.1,103.9
690.1228057820684,1433.082353983518,35.03404060751479,2231.0506028510235,135.11280714093698
114.44273595040934,19.70553984542343,66.45856408019057,12.705539845423433,5.201582812978124
108.3781446154041,13.512578461616382,0.001,0.2080778430704362,0.4153629712690709
5100.0,1430.0,1010.0,1140.0,0.001
27.09,124.34,53.19,32.0,0.26
731.1003571100923,1252.1803367038017,24.94600102031455,1382.8706070871572,215.20300561173
111.7,19.4,3.8,6.4,104.1
10.0,56.0,0.001,70.0,72.0
36.141920108106525,93.66411584984554,0.001,57.23835552552597,19.381368840841542
1570.0,735.0,1740.0,1330.0,87.0
1.0,8.0,6.0,100.0,8.0
60.0,40.0,70.0,110.0,6.9
9.427464428542049,2.6951140088936807,0.001,62.4088462231647,0.3577768906087278
53.57211139819773,150.251729015207,0.2298216748231631,378.4050041458744,64.503458030414
6.0,2990.0,67.0,26076.0,29990.0
16000.0,3600.0,0.001,14.0,670.0
85.43133456321534,63.144735597440295,47.90119017456848,39.887020307398416,0.8249311176330126
16.687259840828787,41.832692908876766,0.001,14.659375325641584,77.02788451518721
441.0,207.0,261.0,224.0,43.0
173.0,334.0,37.7,812.5,172.0
694.7822300477781,50.60069869485169,0.001,16.479860261029664,36.59622319730272
8200.0,3790.0,277.0,4620.0,250.0
26.6,4.0,50.0,8.0,0.001
16.0,68.0,0.001,15.0,124.0
155.5387233141669,15.098601926666383,7.37325240833298,0.3633120844075352,6.823951444999788
63.0,22.0,76.0,11.0,15.0
7.0,15.0,0.001,58.0,78.0
16.91,4.13,9.13,6.2,0.53
58.94,123.07,7.52,8.43,0.61
68.81,65.89,66.96,25.1,0.47
398.1171587991228,911.3651234033248,22.11723725083944,841.3388669432757,204.979090130994
86.0,277.0,0.001,338.0,63.0
76.41767946805653,8.43641147923271,6.345382781150933,5.172691390575467,4.781794260383645
82.28932024805312,7.1159337170158485,48.14009560774488,31.6853420375248,0.5619152379041373
11.86666385184494,24.409966464070123,55.69985353231812,9.741109274885105,0.9537044788783264
73.44,3.74,12.14,5.57,0.04
137.2719906644168,132.42726313292636,0.0781546318036627,86.07028718348307,34.103301424057435
56.866884694107256,141.08874353726182,0.001,53.21858843154571,37.33442347053629
