h2,ch4,c2h6,c2h4,c2h2,act
345,112.3,27.5,51.5,58.8,2.0
181,262.0,41.0,28.0,0.001,4.0
172.9,334.0,172.0,812.5,37.7,6.0
127,107.0,11.0,154.0,224.0,3.0
60,40.0,6.9,110.0,70.0,3.0
220,340.0,42.0,480.0,14.0,6.0
170,320.0,53.0,520.0,3.2,6.0
27,90.0,42.0,73.0,0.2,4.0
565,53.0,34.0,47.0,0.001,2.0
56,286.0,96.0,28.0,7.0,6.0
200,48.0,14.0,117.0,131.0,3.0
78,161.0,86.0,353.0,10.0,6.0
32.4,5.5,1.4,12.6,13.2,3.0
41,65.0,22.0,58.0,0.001,5.0
20,48.0,36.0,186.0,0.001,6.0
179,306.0,73.0,579.0,0.001,6.0
73,177.0,37.0,52.0,0.001,5.0
39,7.0,12.0,65.0,0.001,6.0
37,96.0,19.0,57.0,0.001,5.0
46,147.0,27.0,150.0,0.001,6.0
18,63.0,20.0,51.0,0.001,5.0
28,62.0,16.0,76.0,0.001,6.0
68,78.0,103.0,136.0,0.001,6.0
54,143.0,23.0,101.0,0.001,5.0
19,47.0,27.0,62.0,0.001,5.0
86,277.0,63.0,338.0,0.001,6.0
20,19.0,45.0,77.0,0.001,6.0
25,49.0,42.0,58.0,0.001,5.0
53,150.0,64.0,379.0,0.001,6.0
114,241.0,80.0,574.0,0.001,6.0
99,288.0,73.0,386.0,0.001,6.0
1374,2648.0,628.0,5376.0,298.0,6.0
34,83.0,100.0,136.0,0.001,6.0
20,132.0,61.0,17.0,0.001,4.0
13,138.0,83.0,16.0,0.001,4.0
43,116.0,65.0,139.0,0.001,5.0
179,306.0,73.0,579.0,0.001,6.0
57,141.0,38.0,51.0,0.001,5.0
35,283.0,121.0,222.0,0.001,5.0
15,159.0,29.0,87.0,0.001,5.0
55,159.0,114.0,493.0,0.001,6.0
37,123.0,67.0,52.0,0.001,4.0
7,15.0,78.0,58.0,0.001,4.0
30,51.0,12.0,54.0,0.001,6.0
31,56.0,33.0,77.0,0.001,5.0
109,226.0,68.0,192.0,0.001,5.0
137,279.0,66.0,505.0,0.001,6.0
59,119.0,36.0,70.0,0.001,5.0
151,242.0,68.0,232.0,0.001,5.0
870,77.0,73.0,54.0,14.0,1.0
376,575.0,146.0,1092.0,0.001,6.0
17,40.0,11.0,86.0,0.001,6.0
90,313.0,67.0,566.0,10.0,4.0
23,6.0,172.0,23.0,31.0,4.0
103,74.0,80.0,9.0,0.001,4.0
124,166.0,87.0,59.0,0.001,4.0
295,1466.0,331.0,1295.0,32.0,5.0
80,619.0,326.0,2480.0,0.001,5.0
231,3997.0,1726.0,5584.0,0.001,5.0
507,1053.0,297.0,1440.0,17.0,5.0
2587,7.88,4.7,1.4,0.001,2.0
240,20.0,5.0,28.0,96.0,2.0
160,10.0,3.0,1.0,1.0,2.0
56,61.0,75.0,32.0,31.0,2.0
217,286.0,14.0,458.0,884.0,3.0
441,207.0,43.0,224.0,261.0,3.0
127,24.0,0.001,32.0,81.0,3.0
176,205.9,47.7,75.7,68.7,3.0
